gloss,IPA
water,aɣwa
fire,fweɣo
earth,tjeɾa
sky,sjelo
sun,sol
moon,luna
star,esteʎa
night,notʃe
day,dia
year,aɲo
man,ombɾe
woman,muxeɾ
child,niɲo
eye,oxo
ear,oɾexa
nose,naɾis
mouth,boka
tooth,djente
tongue,leŋɡwa
hand,mano
foot,pje
heart,koɾaθon
blood,saŋɡɾe
head,kaβeθa
hair,pelo
bone,weβo
skin,pjel
tree,aɾβol
leaf,oxa
flower,floɾ
fish,peθ
bird,paxaɾo
dog,peɾo
cat,ɡato
stone,pjeðɾa
sea,maɾ
black,neɣɾo
white,blanko
red,ɾoxo
new,nweβo
old,bjexo
good,bweno
big,ɡɾande
small,pekeɲo
eat,komeɾ
drink,beβeɾ
come,βeniɾ
see,βeɾ
eight,otʃo
milk,letʃe
chest,petʃo
son,ixo
