gloss,IPA
water,o
fire,fø
earth,tɛʁ
sky,sjɛl
sun,sɔlɛj
moon,lyn
star,etwal
night,nwi
day,ʒuʁ
year,an
man,ɔm
woman,fam
child,anfan
eye,œj
ear,ɔʁɛj
nose,ne
mouth,buʃ
tooth,dan
tongue,lanɡ
hand,mɛn
foot,pje
heart,kœʁ
blood,san
head,tɛt
hair,ʃəvø
bone,ɔs
skin,po
tree,aʁbʁ
leaf,fœj
flower,flœʁ
fish,pwason
bird,wazo
dog,ʃjɛn
cat,ʃa
stone,pjɛʁ
sea,mɛʁ
black,nwaʁ
white,blan
red,ʁuʒ
new,nuvo
old,vjø
good,bon
big,ɡʁan
small,pəti
eat,manʒe
drink,bwaʁ
come,vəniʁ
see,vwaʁ
eight,wit
milk,lɛ
chest,pwatʁin
son,fis
fly,vɔle
bread,pɛn
